Sexo;Comunidad autónoma;Tipos atención sanitaria;Sí o no;Total
Ambos sexos;Total Nacional;Atención médica;TOTAL;39.974,1
Ambos sexos;Total Nacional;Atención médica;Sí;739,2
Ambos sexos;Total Nacional;Atención médica;No;37.909,7
Ambos sexos;Total Nacional;Atención médica;No necesitó asistencia;1.313,7
Ambos sexos;Total Nacional;Atención médica;No consta;11,5
Ambos sexos;Total Nacional;Atención dental;TOTAL;39.974,1
Ambos sexos;Total Nacional;Atención dental;Sí;3.696,7
Ambos sexos;Total Nacional;Atención dental;No;32.543,0
Ambos sexos;Total Nacional;Atención dental;No necesitó asistencia;3.709,6
Ambos sexos;Total Nacional;Atención dental;No consta;24,8
Ambos sexos;Total Nacional;Medicamento recetado;TOTAL;39.974,1
Ambos sexos;Total Nacional;Medicamento recetado;Sí;422,2
Ambos sexos;Total Nacional;Medicamento recetado;No;36.202,9
Ambos sexos;Total Nacional;Medicamento recetado;No necesitó asistencia;3.335,5
Ambos sexos;Total Nacional;Medicamento recetado;No consta;13,6
Ambos sexos;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);TOTAL;39.974,1
Ambos sexos;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);Sí;301,5
Ambos sexos;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No;25.252,6
Ambos sexos;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;14.402,7
Ambos sexos;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No consta;17,4
Ambos sexos;Andalucía;Atención médica;TOTAL;7.096,4
Ambos sexos;Andalucía;Atención médica;Sí;82,3
Ambos sexos;Andalucía;Atención médica;No;6.844,3
Ambos sexos;Andalucía;Atención médica;No necesitó asistencia;169,8
Ambos sexos;Andalucía;Atención médica;No consta;0,0
Ambos sexos;Andalucía;Atención dental;TOTAL;7.096,4
Ambos sexos;Andalucía;Atención dental;Sí;360,9
Ambos sexos;Andalucía;Atención dental;No;6.457,5
Ambos sexos;Andalucía;Atención dental;No necesitó asistencia;277,9
Ambos sexos;Andalucía;Atención dental;No consta;0,0
Ambos sexos;Andalucía;Medicamento recetado;TOTAL;7.096,4
Ambos sexos;Andalucía;Medicamento recetado;Sí;44,4
Ambos sexos;Andalucía;Medicamento recetado;No;6.846,6
Ambos sexos;Andalucía;Medicamento recetado;No necesitó asistencia;205,3
Ambos sexos;Andalucía;Medicamento recetado;No consta;0,0
Ambos sexos;Andalucía;Atención salud mental (psicólogo, psiquiatra...);TOTAL;7.096,4
Ambos sexos;Andalucía;Atención salud mental (psicólogo, psiquiatra...);Sí;56,0
Ambos sexos;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No;5.872,7
Ambos sexos;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.167,7
Ambos sexos;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Aragón;Atención médica;TOTAL;1.121,4
Ambos sexos;Aragón;Atención médica;Sí;23,4
Ambos sexos;Aragón;Atención médica;No;1.074,2
Ambos sexos;Aragón;Atención médica;No necesitó asistencia;23,8
Ambos sexos;Aragón;Atención médica;No consta;0,0
Ambos sexos;Aragón;Atención dental;TOTAL;1.121,4
Ambos sexos;Aragón;Atención dental;Sí;43,3
Ambos sexos;Aragón;Atención dental;No;1.050,7
Ambos sexos;Aragón;Atención dental;No necesitó asistencia;27,4
Ambos sexos;Aragón;Atención dental;No consta;0,0
Ambos sexos;Aragón;Medicamento recetado;TOTAL;1.121,4
Ambos sexos;Aragón;Medicamento recetado;Sí;13,7
Ambos sexos;Aragón;Medicamento recetado;No;1.070,8
Ambos sexos;Aragón;Medicamento recetado;No necesitó asistencia;36,9
Ambos sexos;Aragón;Medicamento recetado;No consta;0,0
Ambos sexos;Aragón;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.121,4
Ambos sexos;Aragón;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Ambos sexos;Aragón;Atención salud mental (psicólogo, psiquiatra...);No;1.061,4
Ambos sexos;Aragón;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;60,0
Ambos sexos;Aragón;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Asturias, Principado de;Atención médica;TOTAL;896,9
Ambos sexos;Asturias, Principado de;Atención médica;Sí;3,7
Ambos sexos;Asturias, Principado de;Atención médica;No;873,7
Ambos sexos;Asturias, Principado de;Atención médica;No necesitó asistencia;17,5
Ambos sexos;Asturias, Principado de;Atención médica;No consta;1,9
Ambos sexos;Asturias, Principado de;Atención dental;TOTAL;896,9
Ambos sexos;Asturias, Principado de;Atención dental;Sí;82,8
Ambos sexos;Asturias, Principado de;Atención dental;No;791,4
Ambos sexos;Asturias, Principado de;Atención dental;No necesitó asistencia;20,8
Ambos sexos;Asturias, Principado de;Atención dental;No consta;1,9
Ambos sexos;Asturias, Principado de;Medicamento recetado;TOTAL;896,9
Ambos sexos;Asturias, Principado de;Medicamento recetado;Sí;1,6
Ambos sexos;Asturias, Principado de;Medicamento recetado;No;855,9
Ambos sexos;Asturias, Principado de;Medicamento recetado;No necesitó asistencia;37,4
Ambos sexos;Asturias, Principado de;Medicamento recetado;No consta;1,9
Ambos sexos;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;896,9
Ambos sexos;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);Sí;1,7
Ambos sexos;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No;583,5
Ambos sexos;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;309,8
Ambos sexos;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No consta;1,9
Ambos sexos;Balears, Illes;Atención médica;TOTAL;1.030,2
Ambos sexos;Balears, Illes;Atención médica;Sí;9,5
Ambos sexos;Balears, Illes;Atención médica;No;1.019,6
Ambos sexos;Balears, Illes;Atención médica;No necesitó asistencia;1,1
Ambos sexos;Balears, Illes;Atención médica;No consta;0,0
Ambos sexos;Balears, Illes;Atención dental;TOTAL;1.030,2
Ambos sexos;Balears, Illes;Atención dental;Sí;72,7
Ambos sexos;Balears, Illes;Atención dental;No;939,7
Ambos sexos;Balears, Illes;Atención dental;No necesitó asistencia;17,9
Ambos sexos;Balears, Illes;Atención dental;No consta;0,0
Ambos sexos;Balears, Illes;Medicamento recetado;TOTAL;1.030,2
Ambos sexos;Balears, Illes;Medicamento recetado;Sí;9,6
Ambos sexos;Balears, Illes;Medicamento recetado;No;1.015,8
Ambos sexos;Balears, Illes;Medicamento recetado;No necesitó asistencia;4,8
Ambos sexos;Balears, Illes;Medicamento recetado;No consta;0,0
Ambos sexos;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.030,2
Ambos sexos;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);Sí;11,1
Ambos sexos;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No;957,4
Ambos sexos;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;61,7
Ambos sexos;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Canarias;Atención médica;TOTAL;1.936,1
Ambos sexos;Canarias;Atención médica;Sí;208,1
Ambos sexos;Canarias;Atención médica;No;1.726,1
Ambos sexos;Canarias;Atención médica;No necesitó asistencia;1,9
Ambos sexos;Canarias;Atención médica;No consta;0,0
Ambos sexos;Canarias;Atención dental;TOTAL;1.936,1
Ambos sexos;Canarias;Atención dental;Sí;519,6
Ambos sexos;Canarias;Atención dental;No;1.409,1
Ambos sexos;Canarias;Atención dental;No necesitó asistencia;7,4
Ambos sexos;Canarias;Atención dental;No consta;0,0
